step,mass,mass_err_pct,swiss_cheese,neg_viol,over_viol
216,7831.61,0.0205914,15,0,0
217,7831.26,0.0160765,15,0,0
218,7831.15,0.0146609,12,0,0
219,7830.35,0.00447123,9,0,0
220,7829.99,-0.000180845,12,0,0
221,7829.47,-0.00674115,15,0,0
222,7829.07,-0.0119046,9,0,0
223,7828.33,-0.0213459,6,0,0
224,7827.95,-0.0261227,6,0,0
225,7827.2,-0.0357075,9,0,0
226,7827.14,-0.0365057,12,0,0
227,7826.66,-0.0426108,15,0,0
228,7826.16,-0.0490277,6,0,0
229,7825.59,-0.056355,9,0,0
230,7825.36,-0.0592984,15,0,0
231,7824.59,-0.0690453,9,0,0
232,7824.19,-0.0741776,15,0,0
233,7823.57,-0.0820724,3,0,0
234,7823.03,-0.0890069,15,0,0
235,7822.33,-0.0979182,9,0,0
236,7822.01,-0.102015,15,0,0
237,7821.38,-0.110116,12,0,0
238,7821.14,-0.113196,12,0,0
239,7820.53,-0.120917,21,0,0
240,7820.09,-0.126579,0,0,0
241,7819.53,-0.133676,21,0,0
242,7819.17,-0.138253,15,0,0
243,7818.47,-0.147264,9,0,0
244,7818.13,-0.151554,9,0,0
245,7817.77,-0.156144,24,0,0
246,7817.41,-0.160734,6,0,0
247,7817.1,-0.164756,9,0,0
248,7816.84,-0.168024,18,0,0
249,7816.3,-0.174964,9,0,0
250,7816.16,-0.176785,12,0,0
251,7815.7,-0.182591,21,0,0
252,7815.26,-0.188203,9,0,0
253,7814.99,-0.191733,15,0,0
254,7814.91,-0.192743,12,0,0
255,7814.37,-0.199565,9,0,0
256,7814.21,-0.201611,3,0,0
257,7813.94,-0.205047,12,0,0
258,7813.71,-0.208046,24,0,0
259,7813.34,-0.21273,9,0,0
260,7813.14,-0.215274,12,0,0
261,7812.87,-0.218804,9,0,0
262,7812.92,-0.218143,9,0,0
263,7812.73,-0.2206,15,0,0
264,7812.39,-0.224952,9,0,0
265,7812.13,-0.228208,9,0,0
266,7812.14,-0.228126,21,0,0
267,7811.77,-0.232847,6,0,0
268,7811.73,-0.233271,12,0,0
269,7811.73,-0.233365,15,0,0
270,7811.7,-0.233701,6,0,0
271,7811.49,-0.236445,15,0,0
272,7811.45,-0.236913,21,0,0
273,7811.16,-0.240561,3,0,0
274,7811.17,-0.240517,15,0,0
275,7811.04,-0.242126,9,0,0
276,7811,-0.242594,15,0,0
277,7810.99,-0.242794,12,0,0
278,7810.99,-0.242762,15,0,0
279,7810.81,-0.245064,12,0,0
280,7810.8,-0.245176,15,0,0
281,7810.64,-0.247221,9,0,0
282,7810.58,-0.248044,12,0,0
283,7810.53,-0.248705,15,0,0
284,7810.61,-0.247658,9,0,0
285,7810.45,-0.249641,6,0,0
286,7810.72,-0.24628,12,0,0
287,7810.74,-0.245924,9,0,0
288,7810.66,-0.246966,9,0,0
289,7810.54,-0.248593,9,0,0
290,7810.67,-0.246928,21,0,0
291,7810.4,-0.250258,6,0,0
292,7810.41,-0.250133,3,0,0
293,7810.42,-0.250002,12,0,0
294,7810.5,-0.249061,15,0,0
295,7810.48,-0.249279,6,0,0
296,7810.43,-0.249896,0,0,0
297,7810.18,-0.253139,6,0,0
298,7810.48,-0.249323,33,0,0
299,7810.53,-0.248674,6,0,0
300,7810.45,-0.24966,6,0,0
301,7810.41,-0.250133,9,0,0
302,7810.49,-0.249142,9,0,0
303,7810.32,-0.251349,9,0,0
304,7810.39,-0.250464,9,0,0
305,7810.47,-0.249435,12,0,0
306,7810.53,-0.248624,21,0,0
307,7810.61,-0.247664,9,0,0
308,7810.65,-0.247103,15,0,0
309,7810.57,-0.248113,6,0,0
310,7810.84,-0.244677,12,0,0
311,7810.95,-0.243342,9,0,0
312,7810.94,-0.243417,12,0,0
313,7811.08,-0.241634,9,0,0
314,7811.25,-0.23952,9,0,0
315,7811.21,-0.239938,6,0,0
316,7811.39,-0.23773,21,0,0
317,7811.48,-0.23647,9,0,0
318,7811.42,-0.237262,6,0,0
319,7811.45,-0.236932,9,0,0
320,7811.57,-0.235398,6,0,0
321,7811.56,-0.235448,15,0,0
322,7811.7,-0.233658,15,0,0
323,7811.8,-0.232423,3,0,0
324,7811.9,-0.231138,9,0,0
325,7811.98,-0.230159,12,0,0
326,7812.2,-0.227278,12,0,0
327,7812.16,-0.22789,12,0,0
328,7812.28,-0.226262,3,0,0
329,7812.49,-0.223637,12,0,0
330,7812.61,-0.222096,12,0,0
331,7812.87,-0.218772,12,0,0
332,7812.99,-0.217251,12,0,0
333,7813.01,-0.216964,9,0,0
334,7813.24,-0.214077,12,0,0
335,7813.4,-0.211994,6,0,0
336,7813.49,-0.210846,18,0,0
337,7813.65,-0.208782,6,0,0
338,7813.79,-0.207055,9,0,0
339,7813.93,-0.205296,12,0,0
340,7814.06,-0.203606,9,0,0
341,7814.27,-0.200931,15,0,0
342,7814.29,-0.200594,9,0,0
343,7814.42,-0.199035,12,0,0
344,7814.58,-0.196984,12,0,0
345,7814.71,-0.195219,12,0,0
346,7814.86,-0.193311,15,0,0
347,7814.94,-0.192282,6,0,0
348,7815.1,-0.190292,9,0,0
349,7815.33,-0.187355,12,0,0
350,7815.67,-0.183034,6,0,0
351,7815.73,-0.182298,18,0,0
352,7816.01,-0.178656,6,0,0
353,7816.24,-0.175725,9,0,0
354,7816.41,-0.173524,9,0,0
355,7816.62,-0.170873,9,0,0
356,7816.97,-0.166421,18,0,0
357,7817.18,-0.163739,12,0,0
358,7817.39,-0.161027,3,0,0
359,7817.64,-0.157828,15,0,0
360,7817.78,-0.156069,9,0,0
361,7818.03,-0.152864,15,0,0
362,7818.48,-0.147152,3,0,0
363,7818.72,-0.144052,12,0,0
364,7819.19,-0.138072,6,0,0
365,7819.56,-0.133295,18,0,0
366,7819.94,-0.12845,6,0,0
367,7820.21,-0.125007,12,0,0
368,7820.55,-0.120661,6,0,0
369,7820.77,-0.117911,12,0,0
370,7821.06,-0.114151,15,0,0
371,7821.39,-0.109991,9,0,0
372,7821.46,-0.109012,12,0,0
373,7821.82,-0.104447,6,0,0
374,7822.28,-0.0986353,12,0,0
375,7822.52,-0.0955111,15,0,0
376,7822.75,-0.0926238,9,0,0
377,7823.03,-0.0889882,6,0,0
378,7823.12,-0.0878969,12,0,0
379,7823.21,-0.0866559,15,0,0
380,7823.3,-0.085602,9,0,0
381,7823.22,-0.0866247,6,0,0
382,7823.48,-0.0832635,3,0,0
383,7823.65,-0.0811308,21,0,0
384,7823.7,-0.0804074,9,0,0
385,7823.84,-0.0786364,6,0,0
386,7824.12,-0.075113,12,0,0
387,7824.1,-0.0753749,9,0,0
388,7824.21,-0.0738845,12,0,0
389,7824.17,-0.0744146,12,0,0
390,7823.98,-0.076884,12,0,0
391,7823.86,-0.078468,9,0,0
392,7823.77,-0.0795967,6,0,0
393,7823.52,-0.0827085,15,0,0
394,7823.52,-0.0827022,24,0,0
395,7823.52,-0.0827459,3,0,0
396,7823.31,-0.0854025,0,0,0
397,7822.95,-0.0900982,0,0,0
398,7822.9,-0.0906345,6,0,0
399,7822.53,-0.0953614,9,0,0
400,7822.32,-0.0980741,27,0,0
401,7822.16,-0.100144,9,0,0
402,7821.91,-0.103306,12,0,0
403,7821.77,-0.105127,3,0,0
404,7821.52,-0.108357,9,0,0
405,7821.17,-0.112835,12,0,0
406,7820.87,-0.116595,15,0,0
407,7820.71,-0.118634,9,0,0
408,7820.41,-0.122532,6,0,0
409,7820.25,-0.124496,12,0,0
410,7820.04,-0.127153,15,0,0
411,7819.69,-0.13163,9,0,0
412,7819.51,-0.133944,12,0,0
413,7819.28,-0.136887,15,0,0
414,7818.8,-0.142986,9,0,0
415,7818.32,-0.149172,15,0,0
416,7818.07,-0.152409,6,0,0
417,7817.51,-0.159518,12,0,0
418,7817.07,-0.165118,3,0,0
419,7816.65,-0.170555,9,0,0
420,7816.23,-0.1759,18,0,0
421,7816.07,-0.177877,6,0,0
422,7815.96,-0.179367,12,0,0
423,7815.56,-0.184462,12,0,0
424,7815.23,-0.188665,9,0,0
425,7814.99,-0.191739,12,0,0
426,7814.48,-0.198187,9,0,0
427,7814.12,-0.202839,9,0,0
428,7813.81,-0.206724,6,0,0
429,7813.29,-0.213416,12,0,0
430,7812.85,-0.218978,6,0,0
431,7812.53,-0.223088,18,0,0
432,7812.18,-0.227534,6,0,0
433,7811.77,-0.232841,15,0,0
434,7811.46,-0.236726,12,0,0
435,7810.9,-0.243897,3,0,0
436,7810.32,-0.2513,12,0,0
437,7809.87,-0.257062,9,0,0
438,7809.38,-0.263316,12,0,0
439,7808.72,-0.271779,6,0,0
440,7808.44,-0.275327,18,0,0
441,7807.95,-0.281657,9,0,0
442,7807.53,-0.286926,6,0,0
443,7807.19,-0.291366,12,0,0
444,7806.56,-0.299386,12,0,0
445,7806.06,-0.305802,3,0,0
446,7805.65,-0.310997,12,0,0
447,7805.09,-0.318175,12,0,0
448,7804.76,-0.322365,6,0,0
449,7804.42,-0.326681,12,0,0
450,7804,-0.332025,3,0,0
451,7803.71,-0.335754,21,0,0
452,7803.26,-0.341554,6,0,0
453,7802.84,-0.346879,6,0,0
454,7802.51,-0.351045,15,0,0
455,7802.16,-0.355566,3,0,0
456,7801.85,-0.359476,9,0,0
457,7801.62,-0.362413,21,0,0
458,7801.46,-0.364496,3,0,0
459,7801.04,-0.369921,6,0,0
460,7800.72,-0.373981,12,0,0
461,7800.57,-0.375877,15,0,0
462,7800.24,-0.38003,9,0,0
463,7800,-0.383104,12,0,0
464,7799.83,-0.385331,9,0,0
465,7799.61,-0.388149,3,0,0
466,7799.33,-0.391729,9,0,0
467,7799.17,-0.39378,18,0,0
468,7798.96,-0.396425,12,0,0
469,7798.79,-0.398651,6,0,0
470,7798.72,-0.399518,9,0,0
471,7798.52,-0.402006,9,0,0
472,7798.34,-0.404394,9,0,0
473,7798.3,-0.404881,12,0,0
474,7798.22,-0.405816,18,0,0
475,7798.09,-0.407487,3,0,0
476,7798.05,-0.407999,9,0,0
477,7798.07,-0.407737,12,0,0
478,7797.94,-0.409489,9,0,0
479,7797.88,-0.410194,3,0,0
480,7797.61,-0.413624,18,0,0
481,7797.55,-0.414409,12,0,0
482,7797.47,-0.415488,3,0,0
483,7797.29,-0.417752,6,0,0
484,7797.33,-0.417203,12,0,0
485,7797.37,-0.41671,9,0,0
486,7797.22,-0.4187,21,0,0
487,7797.05,-0.420789,3,0,0
488,7797.08,-0.420464,21,0,0
489,7797.06,-0.420708,3,0,0
490,7797.01,-0.421337,9,0,0
491,7797.01,-0.421269,9,0,0
