i,fl,ux,uy,vmag,K_darcy,rho
48,6.22047246e-01,1.69197790e-07,1.26062050e-14,1.69197790e-07,5.91022875e+05,9.99999881e-01
49,6.14173234e-01,1.56299507e-07,1.16452089e-14,1.56299507e-07,6.39795938e+05,9.99999881e-01
50,6.06299222e-01,1.44434821e-07,1.07612224e-14,1.44434821e-07,6.92352500e+05,9.99999881e-01
51,5.98425210e-01,1.33511236e-07,9.94735249e-15,1.33511236e-07,7.48999375e+05,9.99999881e-01
52,5.90551138e-01,1.23445730e-07,9.19741493e-15,1.23445730e-07,8.10071312e+05,9.99999881e-01
53,5.82677126e-01,1.14163910e-07,8.50586589e-15,1.14163910e-07,8.75932438e+05,9.99999881e-01
54,5.74803114e-01,1.05598431e-07,7.86768840e-15,1.05598431e-07,9.46982688e+05,9.99999881e-01
55,5.66929102e-01,9.76887833e-08,7.27837454e-15,9.76887833e-08,1.02365800e+06,9.99999881e-01
56,5.59055090e-01,9.03801904e-08,6.73384205e-15,9.03801904e-08,1.10643625e+06,9.99999881e-01
57,5.51181078e-01,8.36230711e-08,6.23039828e-15,8.36230711e-08,1.19584138e+06,9.99999881e-01
58,5.43307066e-01,7.73725262e-08,5.76469660e-15,7.73725262e-08,1.29244775e+06,9.99999881e-01
59,5.35433054e-01,7.15877775e-08,5.33369955e-15,7.15877775e-08,1.39688600e+06,9.99999881e-01
60,5.27559042e-01,6.62316779e-08,4.93463989e-15,6.62316779e-08,1.50985100e+06,9.99999881e-01
61,5.19685030e-01,6.12705193e-08,4.56500487e-15,6.12705193e-08,1.63210588e+06,9.99999881e-01
62,5.11811018e-01,5.66735245e-08,4.22250244e-15,5.66735245e-08,1.76449212e+06,9.99999881e-01
63,5.03937006e-01,5.24125667e-08,3.90503661e-15,5.24125667e-08,1.90793925e+06,9.99999881e-01
64,4.96062994e-01,4.84619953e-08,3.61069647e-15,4.84619953e-08,2.06347275e+06,9.99999881e-01
65,4.88188982e-01,4.47982913e-08,3.33772952e-15,4.47982913e-08,2.23222825e+06,9.99999881e-01
66,4.80314970e-01,4.13999395e-08,3.08453295e-15,4.13999395e-08,2.41546275e+06,9.99999881e-01
