i,j,x,y,ux,uy,vorticity
122,0,9.57031269e-04,3.90625019e-06,-4.88091027e-04,-4.32204251e-05,-1.56114101e-01
123,0,9.64843784e-04,3.90625019e-06,-4.01026395e-04,-4.37921117e-05,-1.30488992e-01
124,0,9.72656300e-04,3.90625019e-06,-3.12864868e-04,-4.42259843e-05,-1.01176083e-01
125,0,9.80468816e-04,3.90625019e-06,-2.24010641e-04,-4.45648911e-05,-7.18622431e-02
126,0,9.88281332e-04,3.90625019e-06,-1.34502843e-04,-4.47268976e-05,-3.82526740e-02
127,0,9.96093848e-04,3.90625019e-06,-4.48013889e-05,-4.48255960e-05,-1.27512030e-02
0,1,3.90625019e-06,1.17187501e-05,4.48777464e-05,-1.34407921e-04,4.11167257e-02
1,1,1.17187501e-05,1.17187501e-05,1.34324102e-04,-1.34124843e-04,1.20724544e-01
2,1,1.95312514e-05,1.17187501e-05,2.23576761e-04,-1.33560592e-04,2.06293523e-01
3,1,2.73437508e-05,1.17187501e-05,3.12235468e-04,-1.32612782e-04,2.95913756e-01
4,1,3.51562521e-05,1.17187501e-05,4.00102872e-04,-1.31292574e-04,3.84810358e-01
5,1,4.29687534e-05,1.17187501e-05,4.86826786e-04,-1.29687396e-04,4.61211383e-01
6,1,5.07812510e-05,1.17187501e-05,5.72465069e-04,-1.27806634e-04,5.32362580e-01
7,1,5.85937523e-05,1.17187501e-05,6.56831544e-04,-1.25529215e-04,6.05297267e-01
8,1,6.64062536e-05,1.17187501e-05,7.39652431e-04,-1.23046979e-04,6.83356524e-01
9,1,7.42187549e-05,1.17187501e-05,8.20657762e-04,-1.20188597e-04,7.71313429e-01
10,1,8.20312562e-05,1.17187501e-05,8.99655803e-04,-1.17011783e-04,8.46746802e-01
11,1,8.98437575e-05,1.17187501e-05,9.76536307e-04,-1.13618938e-04,9.12523746e-01
12,1,9.76562515e-05,1.17187501e-05,1.05100370e-03,-1.09995213e-04,9.71285582e-01
13,1,1.05468753e-04,1.17187501e-05,1.12293835e-03,-1.06095860e-04,1.03503978e+00
14,1,1.13281254e-04,1.17187501e-05,1.19213585e-03,-1.02001010e-04,1.10048378e+00
15,1,1.21093755e-04,1.17187501e-05,1.25830714e-03,-9.75746734e-05,1.15995336e+00
16,1,1.28906249e-04,1.17187501e-05,1.32162380e-03,-9.28988084e-05,1.22024298e+00
17,1,1.36718751e-04,1.17187501e-05,1.38181925e-03,-8.79845829e-05,1.28234959e+00
18,1,1.44531252e-04,1.17187501e-05,1.43870222e-03,-8.28506454e-05,1.33324361e+00
19,1,1.52343753e-04,1.17187501e-05,1.49208808e-03,-7.75100052e-05,1.39117146e+00
20,1,1.60156254e-04,1.17187501e-05,1.54188229e-03,-7.19850359e-05,1.44108331e+00
21,1,1.67968756e-04,1.17187501e-05,1.58777181e-03,-6.63204046e-05,1.47197735e+00
22,1,1.75781257e-04,1.17187501e-05,1.63003337e-03,-6.05291316e-05,1.51117206e+00
23,1,1.83593758e-04,1.17187501e-05,1.66827987e-03,-5.45814219e-05,1.54548383e+00
24,1,1.91406260e-04,1.17187501e-05,1.70254335e-03,-4.84381962e-05,1.58174026e+00
25,1,1.99218761e-04,1.17187501e-05,1.73261168e-03,-4.22130397e-05,1.60820818e+00
26,1,2.07031262e-04,1.17187501e-05,1.75864657e-03,-3.58482212e-05,1.63332868e+00
27,1,2.14843763e-04,1.17187501e-05,1.78040378e-03,-2.94200818e-05,1.65061224e+00
28,1,2.22656265e-04,1.17187501e-05,1.79803080e-03,-2.29342186e-05,1.65784466e+00
29,1,2.30468766e-04,1.17187501e-05,1.81121938e-03,-1.64241555e-05,1.67248464e+00
30,1,2.38281267e-04,1.17187501e-05,1.82000292e-03,-9.90104581e-06,1.68432951e+00
31,1,2.46093754e-04,1.17187501e-05,1.82429748e-03,-3.26993450e-06,1.69528747e+00
32,1,2.53906270e-04,1.17187501e-05,1.82433438e-03,3.35745472e-06,1.69352293e+00
33,1,2.61718757e-04,1.17187501e-05,1.81996776e-03,9.92339301e-06,1.68492591e+00
34,1,2.69531272e-04,1.17187501e-05,1.81131193e-03,1.64762896e-05,1.67383981e+00
35,1,2.77343759e-04,1.17187501e-05,1.79826899e-03,2.29826310e-05,1.66337299e+00
36,1,2.85156275e-04,1.17187501e-05,1.78097154e-03,2.94796664e-05,1.65086544e+00
37,1,2.92968762e-04,1.17187501e-05,1.75918208e-03,3.58575162e-05,1.63298702e+00
38,1,3.00781277e-04,1.17187501e-05,1.73321832e-03,4.21906843e-05,1.60616159e+00
39,1,3.08593764e-04,1.17187501e-05,1.70295115e-03,4.83655713e-05,1.57934356e+00
40,1,3.16406251e-04,1.17187501e-05,1.66863517e-03,5.44212671e-05,1.54195368e+00
41,1,3.24218767e-04,1.17187501e-05,1.63029577e-03,6.03540830e-05,1.51096368e+00
42,1,3.32031253e-04,1.17187501e-05,1.58806390e-03,6.61639788e-05,1.47556973e+00
43,1,3.39843769e-04,1.17187501e-05,1.54200755e-03,7.18509837e-05,1.43480563e+00
44,1,3.47656256e-04,1.17187501e-05,1.49225269e-03,7.73256907e-05,1.38878107e+00
45,1,3.55468772e-04,1.17187501e-05,1.43878837e-03,8.26570104e-05,1.33804178e+00
46,1,3.63281259e-04,1.17187501e-05,1.38201891e-03,8.77760540e-05,1.28462112e+00
47,1,3.71093774e-04,1.17187501e-05,1.32186967e-03,9.27070214e-05,1.22382534e+00
48,1,3.78906261e-04,1.17187501e-05,1.25864428e-03,9.73232818e-05,1.16329777e+00
49,1,3.86718777e-04,1.17187501e-05,1.19224377e-03,1.01771955e-04,1.10215223e+00
50,1,3.94531264e-04,1.17187501e-05,1.12290308e-03,1.05933868e-04,1.03757107e+00
51,1,4.02343780e-04,1.17187501e-05,1.05092535e-03,1.09859262e-04,9.77497935e-01
52,1,4.10156266e-04,1.17187501e-05,9.76493466e-04,1.13496040e-04,9.15153384e-01
53,1,4.17968782e-04,1.17187501e-05,8.99610983e-04,1.16913077e-04,8.38772357e-01
54,1,4.25781269e-04,1.17187501e-05,8.20674351e-04,1.20065662e-04,7.61176884e-01
55,1,4.33593785e-04,1.17187501e-05,7.39749172e-04,1.22940823e-04,6.88952804e-01
56,1,4.41406271e-04,1.17187501e-05,6.57051220e-04,1.25464037e-04,6.10793948e-01
57,1,4.49218758e-04,1.17187501e-05,5.72694174e-04,1.27652078e-04,5.30229867e-01
58,1,4.57031274e-04,1.17187501e-05,4.86966514e-04,1.29560780e-04,4.55970854e-01
59,1,4.64843761e-04,1.17187501e-05,4.00128978e-04,1.31193883e-04,3.82438272e-01
60,1,4.72656277e-04,1.17187501e-05,3.12218879e-04,1.32448986e-04,2.96039522e-01
61,1,4.80468763e-04,1.17187501e-05,2.23530369e-04,1.33435926e-04,2.10232079e-01
62,1,4.88281250e-04,1.17187501e-05,1.34296293e-04,1.34119386e-04,1.26569524e-01
63,1,4.96093766e-04,1.17187501e-05,4.47567472e-05,1.34484391e-04,4.34978828e-02
64,1,5.03906282e-04,1.17187501e-05,-4.48889477e-05,1.34480622e-04,-4.30254713e-02
65,1,5.11718797e-04,1.17187501e-05,-1.34404283e-04,1.34167785e-04,-1.25971615e-01
66,1,5.19531255e-04,1.17187501e-05,-2.23634619e-04,1.33467576e-04,-2.11663529e-01
67,1,5.27343771e-04,1.17187501e-05,-3.12390126e-04,1.32527173e-04,-2.97705650e-01
68,1,5.35156287e-04,1.17187501e-05,-4.00235120e-04,1.31210647e-04,-3.81738842e-01
69,1,5.42968803e-04,1.17187501e-05,-4.87054029e-04,1.29564505e-04,-4.57049310e-01
70,1,5.50781260e-04,1.17187501e-05,-5.72660705e-04,1.27674430e-04,-5.30944228e-01
71,1,5.58593776e-04,1.17187501e-05,-6.56934048e-04,1.25484541e-04,-6.11393690e-01
72,1,5.66406292e-04,1.17187501e-05,-7.39631942e-04,1.22976213e-04,-6.84916914e-01
73,1,5.74218750e-04,1.17187501e-05,-8.20646819e-04,1.20147655e-04,-7.62985468e-01
74,1,5.82031265e-04,1.17187501e-05,-8.99724546e-04,1.17039708e-04,-8.39977503e-01
75,1,5.89843781e-04,1.17187501e-05,-9.76707553e-04,1.13628237e-04,-9.14211333e-01
76,1,5.97656297e-04,1.17187501e-05,-1.05112814e-03,1.09913242e-04,-9.77975726e-01
77,1,6.05468755e-04,1.17187501e-05,-1.12298282e-03,1.06030660e-04,-1.03719020e+00
78,1,6.13281270e-04,1.17187501e-05,-1.19215425e-03,1.01824087e-04,-1.10322189e+00
79,1,6.21093786e-04,1.17187501e-05,-1.25856791e-03,9.73940478e-05,-1.16635895e+00
80,1,6.28906302e-04,1.17187501e-05,-1.32182112e-03,9.26958382e-05,-1.22561312e+00
81,1,6.36718760e-04,1.17187501e-05,-1.38200587e-03,8.77928105e-05,-1.28435242e+00
82,1,6.44531276e-04,1.17187501e-05,-1.43884239e-03,8.26570104e-05,-1.33516216e+00
83,1,6.52343791e-04,1.17187501e-05,-1.49229681e-03,7.74653236e-05,-1.38855386e+00
84,1,6.60156307e-04,1.17187501e-05,-1.54203700e-03,7.19943491e-05,-1.43490207e+00
85,1,6.67968765e-04,1.17187501e-05,-1.58820697e-03,6.63259707e-05,-1.47495127e+00
86,1,6.75781281e-04,1.17187501e-05,-1.63037505e-03,6.04546076e-05,-1.51152921e+00
87,1,6.83593797e-04,1.17187501e-05,-1.66856567e-03,5.45236653e-05,-1.54455233e+00
88,1,6.91406254e-04,1.17187501e-05,-1.70282205e-03,4.84270058e-05,-1.57659912e+00
89,1,6.99218770e-04,1.17187501e-05,-1.73300237e-03,4.22167541e-05,-1.60628593e+00
90,1,7.07031286e-04,1.17187501e-05,-1.75897416e-03,3.58947727e-05,-1.63595200e+00
91,1,7.14843802e-04,1.17187501e-05,-1.78073475e-03,2.94759393e-05,-1.65430045e+00
92,1,7.22656259e-04,1.17187501e-05,-1.79816072e-03,2.29733178e-05,-1.66480362e+00
93,1,7.30468775e-04,1.17187501e-05,-1.81117014e-03,1.64837365e-05,-1.67289400e+00
94,1,7.38281291e-04,1.17187501e-05,-1.81989127e-03,9.94387574e-06,-1.68336880e+00
95,1,7.46093807e-04,1.17187501e-05,-1.82429876e-03,3.37980009e-06,-1.68861365e+00
96,1,7.53906264e-04,1.17187501e-05,-1.82430225e-03,-3.20848198e-06,-1.69205499e+00
97,1,7.61718780e-04,1.17187501e-05,-1.81994063e-03,-9.80048571e-06,-1.68406761e+00
98,1,7.69531296e-04,1.17187501e-05,-1.81112706e-03,-1.64018002e-05,-1.67489684e+00
99,1,7.77343812e-04,1.17187501e-05,-1.79797248e-03,-2.29267625e-05,-1.66598046e+00
100,1,7.85156270e-04,1.17187501e-05,-1.78047968e-03,-2.94200745e-05,-1.65062702e+00
101,1,7.92968785e-04,1.17187501e-05,-1.75875786e-03,-3.58444886e-05,-1.62821054e+00
102,1,8.00781301e-04,1.17187501e-05,-1.73268327e-03,-4.21273580e-05,-1.60674787e+00
103,1,8.08593817e-04,1.17187501e-05,-1.70243834e-03,-4.83748590e-05,-1.57946825e+00
104,1,8.16406275e-04,1.17187501e-05,-1.66801852e-03,-5.44808463e-05,-1.54383051e+00
105,1,8.24218791e-04,1.17187501e-05,-1.62986317e-03,-6.04043380e-05,-1.51140165e+00
106,1,8.32031306e-04,1.17187501e-05,-1.58772606e-03,-6.62216698e-05,-1.47807169e+00
107,1,8.39843764e-04,1.17187501e-05,-1.54172163e-03,-7.18900410e-05,-1.43512654e+00
108,1,8.47656280e-04,1.17187501e-05,-1.49190379e-03,-7.73647625e-05,-1.38531709e+00
109,1,8.55468796e-04,1.17187501e-05,-1.43856625e-03,-8.27258773e-05,-1.33432162e+00
110,1,8.63281311e-04,1.17187501e-05,-1.38180587e-03,-8.78821447e-05,-1.28187037e+00
111,1,8.71093769e-04,1.17187501e-05,-1.32168096e-03,-9.28019435e-05,-1.22011542e+00
112,1,8.78906285e-04,1.17187501e-05,-1.25838292e-03,-9.74442810e-05,-1.16089129e+00
113,1,8.86718801e-04,1.17187501e-05,-1.19205529e-03,-1.01919031e-04,-1.10047352e+00
114,1,8.94531317e-04,1.17187501e-05,-1.12273125e-03,-1.06149826e-04,-1.04066873e+00
115,1,9.02343774e-04,1.17187501e-05,-1.05083943e-03,-1.10134832e-04,-9.75246966e-01
116,1,9.10156290e-04,1.17187501e-05,-9.76381532e-04,-1.13844231e-04,-9.13369417e-01
117,1,9.17968806e-04,1.17187501e-05,-8.99497420e-04,-1.17281787e-04,-8.44148874e-01
118,1,9.25781322e-04,1.17187501e-05,-8.20493908e-04,-1.20389712e-04,-7.72044003e-01
119,1,9.33593779e-04,1.17187501e-05,-7.39488634e-04,-1.23143822e-04,-6.83727622e-01
120,1,9.41406295e-04,1.17187501e-05,-6.56749588e-04,-1.25598119e-04,-6.01364255e-01
121,1,9.49218811e-04,1.17187501e-05,-5.72429737e-04,-1.27776832e-04,-5.32721162e-01
122,1,9.57031269e-04,1.17187501e-05,-4.86821198e-04,-1.29707885e-04,-4.61203039e-01
123,1,9.64843784e-04,1.17187501e-05,-4.00004181e-04,-1.31309323e-04,-3.82190526e-01
124,1,9.72656300e-04,1.17187501e-05,-3.12071672e-04,-1.32651912e-04,-2.96743572e-01
125,1,9.80468816e-04,1.17187501e-05,-2.23396186e-04,-1.33504771e-04,-2.12128252e-01
126,1,9.88281332e-04,1.17187501e-05,-1.34158399e-04,-1.34117436e-04,-1.25131562e-01
127,1,9.96093848e-04,1.17187501e-05,-4.47027051e-05,-1.34428410e-04,-4.06375602e-02
0,2,3.90625019e-06,1.95312514e-05,4.46319536e-05,-2.23858078e-04,6.94831833e-02
1,2,1.17187501e-05,1.95312514e-05,1.33607202e-04,-2.23340350e-04,2.11902887e-01
2,2,1.95312514e-05,1.95312514e-05,2.22457616e-04,-2.22254646e-04,3.50978196e-01
3,2,2.73437508e-05,1.95312514e-05,3.10632138e-04,-2.20714675e-04,4.88978803e-01
4,2,3.51562521e-05,1.95312514e-05,3.98043339e-04,-2.18524860e-04,6.36044860e-01
5,2,4.29687534e-05,1.95312514e-05,4.84381802e-04,-2.15789376e-04,7.60112882e-01
6,2,5.07812510e-05,1.95312514e-05,5.69714699e-04,-2.12601371e-04,8.80833626e-01
7,2,5.85937523e-05,1.95312514e-05,6.53703231e-04,-2.08906902e-04,1.01002395e+00
8,2,6.64062536e-05,1.95312514e-05,7.36118120e-04,-2.04702170e-04,1.13539481e+00
9,2,7.42187549e-05,1.95312514e-05,8.16659769e-04,-2.00013281e-04,1.26899123e+00
10,2,8.20312562e-05,1.95312514e-05,8.95236910e-04,-1.94840264e-04,1.39593983e+00
