step,du_rel,dT_rel,u_max,ux_surf_max
282000,0.000000e+00,4.531250e+00,0.000000e+00,0.000000e+00
284000,0.000000e+00,4.312500e+00,0.000000e+00,0.000000e+00
286000,0.000000e+00,4.121094e+00,0.000000e+00,0.000000e+00
288000,0.000000e+00,3.884766e+00,0.000000e+00,0.000000e+00
290000,0.000000e+00,3.720703e+00,0.000000e+00,0.000000e+00
292000,0.000000e+00,3.472656e+00,0.000000e+00,0.000000e+00
294000,0.000000e+00,3.279297e+00,0.000000e+00,0.000000e+00
296000,0.000000e+00,3.101562e+00,0.000000e+00,0.000000e+00
298000,0.000000e+00,2.958984e+00,0.000000e+00,0.000000e+00
300000,0.000000e+00,2.775391e+00,0.000000e+00,0.000000e+00
302000,0.000000e+00,2.574219e+00,0.000000e+00,0.000000e+00
304000,0.000000e+00,2.476562e+00,0.000000e+00,0.000000e+00
306000,0.000000e+00,2.310547e+00,0.000000e+00,0.000000e+00
308000,0.000000e+00,2.175781e+00,0.000000e+00,0.000000e+00
310000,0.000000e+00,2.054688e+00,0.000000e+00,0.000000e+00
312000,0.000000e+00,1.921875e+00,0.000000e+00,0.000000e+00
314000,0.000000e+00,1.849609e+00,0.000000e+00,0.000000e+00
316000,0.000000e+00,1.746094e+00,0.000000e+00,0.000000e+00
318000,0.000000e+00,1.634766e+00,0.000000e+00,0.000000e+00
320000,0.000000e+00,1.550781e+00,0.000000e+00,0.000000e+00
322000,0.000000e+00,1.464844e+00,0.000000e+00,0.000000e+00
324000,0.000000e+00,1.390625e+00,0.000000e+00,0.000000e+00
326000,0.000000e+00,1.296875e+00,0.000000e+00,0.000000e+00
328000,0.000000e+00,1.255859e+00,0.000000e+00,0.000000e+00
330000,0.000000e+00,1.175781e+00,0.000000e+00,0.000000e+00
332000,0.000000e+00,1.121094e+00,0.000000e+00,0.000000e+00
334000,0.000000e+00,1.062500e+00,0.000000e+00,0.000000e+00
336000,0.000000e+00,1.001953e+00,0.000000e+00,0.000000e+00
338000,0.000000e+00,9.726562e-01,0.000000e+00,0.000000e+00
340000,0.000000e+00,9.218750e-01,0.000000e+00,0.000000e+00
342000,0.000000e+00,8.828125e-01,0.000000e+00,0.000000e+00
344000,0.000000e+00,8.730469e-01,0.000000e+00,0.000000e+00
346000,0.000000e+00,8.261719e-01,0.000000e+00,0.000000e+00
348000,0.000000e+00,7.832031e-01,0.000000e+00,0.000000e+00
350000,0.000000e+00,7.441406e-01,0.000000e+00,0.000000e+00
352000,0.000000e+00,7.539062e-01,0.000000e+00,0.000000e+00
354000,0.000000e+00,7.304688e-01,0.000000e+00,0.000000e+00
356000,0.000000e+00,6.738281e-01,0.000000e+00,0.000000e+00
358000,0.000000e+00,6.386719e-01,0.000000e+00,0.000000e+00
360000,0.000000e+00,6.367188e-01,0.000000e+00,0.000000e+00
362000,0.000000e+00,5.976562e-01,0.000000e+00,0.000000e+00
364000,0.000000e+00,6.015625e-01,0.000000e+00,0.000000e+00
366000,0.000000e+00,5.800781e-01,0.000000e+00,0.000000e+00
368000,0.000000e+00,5.390625e-01,0.000000e+00,0.000000e+00
370000,0.000000e+00,5.605469e-01,0.000000e+00,0.000000e+00
372000,0.000000e+00,5.195312e-01,0.000000e+00,0.000000e+00
374000,0.000000e+00,5.253906e-01,0.000000e+00,0.000000e+00
376000,0.000000e+00,4.824219e-01,0.000000e+00,0.000000e+00
378000,0.000000e+00,5.332031e-01,0.000000e+00,0.000000e+00
380000,0.000000e+00,4.667969e-01,0.000000e+00,0.000000e+00
382000,0.000000e+00,4.628906e-01,0.000000e+00,0.000000e+00
384000,0.000000e+00,4.570312e-01,0.000000e+00,0.000000e+00
386000,0.000000e+00,4.414062e-01,0.000000e+00,0.000000e+00
388000,0.000000e+00,4.238281e-01,0.000000e+00,0.000000e+00
390000,0.000000e+00,4.335938e-01,0.000000e+00,0.000000e+00
392000,0.000000e+00,3.925781e-01,0.000000e+00,0.000000e+00
394000,0.000000e+00,3.945312e-01,0.000000e+00,0.000000e+00
396000,0.000000e+00,3.789062e-01,0.000000e+00,0.000000e+00
398000,0.000000e+00,3.828125e-01,0.000000e+00,0.000000e+00
400000,0.000000e+00,3.789062e-01,0.000000e+00,0.000000e+00
402000,0.000000e+00,3.750000e-01,0.000000e+00,0.000000e+00
404000,0.000000e+00,3.437500e-01,0.000000e+00,0.000000e+00
406000,0.000000e+00,3.574219e-01,0.000000e+00,0.000000e+00
408000,0.000000e+00,3.437500e-01,0.000000e+00,0.000000e+00
410000,0.000000e+00,3.437500e-01,0.000000e+00,0.000000e+00
412000,0.000000e+00,3.281250e-01,0.000000e+00,0.000000e+00
414000,0.000000e+00,3.203125e-01,0.000000e+00,0.000000e+00
416000,0.000000e+00,3.125000e-01,0.000000e+00,0.000000e+00
418000,0.000000e+00,3.378906e-01,0.000000e+00,0.000000e+00
420000,0.000000e+00,3.105469e-01,0.000000e+00,0.000000e+00
422000,0.000000e+00,2.949219e-01,0.000000e+00,0.000000e+00
424000,0.000000e+00,3.222656e-01,0.000000e+00,0.000000e+00
426000,0.000000e+00,2.812500e-01,0.000000e+00,0.000000e+00
428000,0.000000e+00,2.929688e-01,0.000000e+00,0.000000e+00
430000,0.000000e+00,2.851562e-01,0.000000e+00,0.000000e+00
432000,0.000000e+00,2.832031e-01,0.000000e+00,0.000000e+00
434000,0.000000e+00,2.812500e-01,0.000000e+00,0.000000e+00
436000,0.000000e+00,2.792969e-01,0.000000e+00,0.000000e+00
