# Rising bubble trajectory (lattice units)
# g_LB=3e-05 tau=0.7 nu_LB=0.0666667 rho_ratio=10 R=12 dx=0.0005 dt=3.91031e-05 vel_conv=12.7867
step,time_s,centroid_y_mm,velocity_mm_s,mass
1950,0.076251,34.9452,81.0388,18704.2
1960,0.0766421,34.977,81.2535,18704.2
1970,0.0770331,35.0093,82.7363,18704.2
1980,0.0774241,35.0426,85.1166,18704.1
1990,0.0778152,35.0748,82.3363,18704.1
2000,0.0782062,35.1072,82.8631,18704.1
2010,0.0785972,35.1412,86.8043,18704.1
2020,0.0789882,35.1769,91.3309,18704
2030,0.0793793,35.2122,90.4236,18704
2040,0.0797703,35.2464,87.3799,18704
2050,0.0801613,35.2808,88.0725,18703.9
2060,0.0805524,35.3171,92.7552,18703.9
2070,0.0809434,35.3528,91.4089,18703.9
2080,0.0813344,35.39,95.038,18703.8
2090,0.0817255,35.4251,89.8383,18703.8
2100,0.0821165,35.461,91.7504,18703.8
2110,0.0825075,35.497,92.004,18703.8
2120,0.0828986,35.5332,92.5015,18703.7
2130,0.0832896,35.5698,93.6429,18703.7
2140,0.0836806,35.6066,94.2088,18703.7
2150,0.0840716,35.6431,93.4088,18703.7
2160,0.0844627,35.6809,96.5988,18703.7
2170,0.0848537,35.7185,96.1598,18703.6
2180,0.0852447,35.7562,96.4525,18703.6
2190,0.0856358,35.7927,93.2625,18703.6
2200,0.0860268,35.831,98.0427,18703.6
2210,0.0864178,35.8687,96.2184,18703.6
2220,0.0868089,35.9064,96.6086,18703.6
2230,0.0871999,35.9443,96.7257,18703.6
2240,0.0875909,35.9803,92.1113,18703.5
2250,0.087982,36.0193,99.7108,18703.5
2260,0.088373,36.0586,100.56,18703.5
2270,0.088764,36.098,100.745,18703.5
2280,0.089155,36.1376,101.35,18703.5
2290,0.0895461,36.1756,97.1256,18703.5
2300,0.0899371,36.2152,101.242,18703.5
2310,0.0903281,36.2537,98.4231,18703.5
2320,0.0907192,36.2933,101.223,18703.5
2330,0.0911102,36.332,99.0085,18703.5
2340,0.0915012,36.3722,102.803,18703.5
2350,0.0918923,36.4119,101.603,18703.5
2360,0.0922833,36.4506,98.9402,18703.5
2370,0.0926743,36.4902,101.428,18703.5
2380,0.0930654,36.5301,101.886,18703.5
2390,0.0934564,36.5708,104.13,18703.5
2400,0.0938474,36.6094,98.6475,18703.5
2410,0.0942385,36.6486,100.394,18703.5
2420,0.0946295,36.6882,101.096,18703.5
2430,0.0950205,36.7268,98.7353,18703.5
2440,0.0954115,36.7647,97.0574,18703.4
2450,0.0958026,36.8028,97.233,18703.4
2460,0.0961936,36.8409,97.6524,18703.4
2470,0.0965846,36.8791,97.6427,18703.4
2480,0.0969757,36.917,96.7842,18703.4
2490,0.0973667,36.9549,97.0086,18703.4
2500,0.0977577,36.9922,95.2721,18703.4
2510,0.0981488,37.0292,94.6673,18703.4
2520,0.0985398,37.0668,96.2086,18703.4
2530,0.0989308,37.104,95.1745,18703.4
2540,0.0993218,37.1415,95.9062,18703.4
2550,0.0997129,37.1786,94.9111,18703.4
2560,0.100104,37.2161,95.7599,18703.4
2570,0.100495,37.2532,94.8429,18703.3
2580,0.100886,37.2897,93.3893,18703.3
2590,0.101277,37.3262,93.4088,18703.3
2600,0.101668,37.3636,95.7306,18703.3
2610,0.102059,37.3991,90.7943,18703.3
2620,0.10245,37.4339,88.9213,18703.3
2630,0.102841,37.4687,88.9896,18703.3
2640,0.103232,37.5046,91.8772,18703.3
2650,0.103623,37.5398,89.8968,18703.2
2660,0.104014,37.5743,88.2189,18703.2
2670,0.104405,37.6096,90.3944,18703.2
2680,0.104796,37.6455,91.6431,18703.2
2690,0.105187,37.6806,89.8383,18703.2
2700,0.105578,37.7152,88.6189,18703.2
2710,0.105969,37.7494,87.2433,18703.1
2720,0.10636,37.7841,88.7749,18703.1
2730,0.106751,37.8182,87.3604,18703.1
2740,0.107142,37.8522,86.9312,18703.1
2750,0.107533,37.8857,85.5556,18703.1
2760,0.107925,37.9196,86.8531,18703
2770,0.108316,37.9554,91.3699,18703
2780,0.108707,37.9913,91.9162,18703
2790,0.109098,38.0255,87.497,18703
2800,0.109489,38.0591,85.9654,18703
2810,0.10988,38.0931,86.8336,18702.9
2820,0.110271,38.1275,87.8774,18702.9
2830,0.110662,38.163,90.8138,18702.9
2840,0.111053,38.1977,88.7652,18702.9
2850,0.111444,38.2338,92.2479,18702.9
2860,0.111835,38.2686,89.1164,18702.8
2870,0.112226,38.307,98.2573,18702.8
2880,0.112617,38.3425,90.6382,18702.8
2890,0.113008,38.3775,89.7017,18702.8
2900,0.113399,38.4129,90.3846,18702.7
2910,0.11379,38.4486,91.2626,18702.7
2920,0.114181,38.4878,100.403,18702.7
2930,0.114572,38.5242,93.0283,18702.7
2940,0.114963,38.56,91.6138,18702.6
2950,0.115354,38.5969,94.3844,18702.6
2960,0.115745,38.633,92.2674,18702.6
2970,0.116136,38.6697,93.838,18702.6
2980,0.116527,38.7073,96.0428,18702.6
2990,0.116918,38.7446,95.4672,18702.5
3000,0.117309,38.7822,96.2184,18702.5
