ix,iy,x,y,T,ux,uy,rho
6,3,0.0606061,0.030303,36516.8,0,0,nan
7,3,0.0707071,0.030303,38263.7,0,0,nan
8,3,0.0808081,0.030303,39758.3,0,0,nan
9,3,0.0909091,0.030303,40828.1,0,0,nan
10,3,0.10101,0.030303,41767.1,0,0,nan
11,3,0.111111,0.030303,42486.6,0,0,nan
12,3,0.121212,0.030303,43125.5,0,0,nan
13,3,0.131313,0.030303,43640.6,0,0,nan
14,3,0.141414,0.030303,44101.2,0,0,nan
15,3,0.151515,0.030303,44486.6,0,0,nan
16,3,0.161616,0.030303,44833.2,0,0,nan
17,3,0.171717,0.030303,45131.2,0,0,nan
18,3,0.181818,0.030303,45400.6,0,0,nan
19,3,0.191919,0.030303,45637,0,0,nan
20,3,0.20202,0.030303,45851.6,0,0,nan
21,3,0.212121,0.030303,46042.8,0,0,nan
22,3,0.222222,0.030303,46217,0,0,nan
23,3,0.232323,0.030303,46373.9,0,0,nan
24,3,0.242424,0.030303,46517.4,0,0,nan
25,3,0.252525,0.030303,46647.6,0,0,nan
26,3,0.262626,0.030303,46767.1,0,0,nan
27,3,0.272727,0.030303,46876.1,0,0,nan
28,3,0.282828,0.030303,46976.2,0,0,nan
29,3,0.292929,0.030303,47067.9,0,0,nan
30,3,0.30303,0.030303,47152.1,0,0,nan
31,3,0.313131,0.030303,47229.4,0,0,nan
32,3,0.323232,0.030303,47300.4,0,0,nan
33,3,0.333333,0.030303,47365.4,0,0,nan
34,3,0.343434,0.030303,47425,0,0,nan
35,3,0.353535,0.030303,47479.4,0,0,nan
36,3,0.363636,0.030303,47529.1,0,0,nan
37,3,0.373737,0.030303,47574.3,0,0,nan
38,3,0.383838,0.030303,47615.2,0,0,nan
39,3,0.393939,0.030303,47652.1,0,0,nan
40,3,0.40404,0.030303,47685.1,0,0,nan
41,3,0.414141,0.030303,47714.4,0,0,nan
42,3,0.424242,0.030303,47740.2,0,0,nan
43,3,0.434343,0.030303,47762.5,0,0,nan
44,3,0.444444,0.030303,47781.4,0,0,nan
45,3,0.454545,0.030303,47797.1,0,0,nan
46,3,0.464646,0.030303,47809.6,0,0,nan
47,3,0.474747,0.030303,47818.9,0,0,nan
48,3,0.484848,0.030303,47825.2,0,0,nan
49,3,0.494949,0.030303,47828.4,0,0,nan
50,3,0.50505,0.030303,47828.5,0,0,nan
51,3,0.515152,0.030303,47825.5,0,0,nan
52,3,0.525253,0.030303,47819.5,0,0,nan
53,3,0.535354,0.030303,47810.4,0,0,nan
54,3,0.545455,0.030303,47798.1,0,0,nan
55,3,0.555556,0.030303,47782.6,0,0,nan
56,3,0.565657,0.030303,47763.9,0,0,nan
57,3,0.575758,0.030303,47741.8,0,0,nan
58,3,0.585859,0.030303,47716.2,0,0,nan
59,3,0.59596,0.030303,47687.1,0,0,nan
60,3,0.606061,0.030303,47654.3,0,0,nan
61,3,0.616162,0.030303,47617.6,0,0,nan
62,3,0.626263,0.030303,47576.9,0,0,nan
63,3,0.636364,0.030303,47531.9,0,0,nan
64,3,0.646465,0.030303,47482.3,0,0,nan
65,3,0.656566,0.030303,47428,0,0,nan
66,3,0.666667,0.030303,47368.5,0,0,nan
67,3,0.676768,0.030303,47303.6,0,0,nan
68,3,0.686869,0.030303,47232.7,0,0,nan
69,3,0.69697,0.030303,47155.6,0,0,nan
70,3,0.707071,0.030303,47071.4,0,0,nan
71,3,0.717172,0.030303,46979.8,0,0,nan
72,3,0.727273,0.030303,46879.7,0,0,nan
73,3,0.737374,0.030303,46770.7,0,0,nan
74,3,0.747475,0.030303,46651.2,0,0,nan
75,3,0.757576,0.030303,46521,0,0,nan
76,3,0.767677,0.030303,46377.4,0,0,nan
77,3,0.777778,0.030303,46220.4,0,0,nan
78,3,0.787879,0.030303,46046.2,0,0,nan
79,3,0.79798,0.030303,45854.9,0,0,nan
80,3,0.808081,0.030303,45640.3,0,0,nan
81,3,0.818182,0.030303,45403.8,0,0,nan
82,3,0.828283,0.030303,45134.3,0,0,nan
83,3,0.838384,0.030303,44836.1,0,0,nan
84,3,0.848485,0.030303,44489.5,0,0,nan
85,3,0.858586,0.030303,44103.9,0,0,nan
86,3,0.868687,0.030303,43643.2,0,0,nan
87,3,0.878788,0.030303,43127.9,0,0,nan
88,3,0.888889,0.030303,42488.8,0,0,nan
89,3,0.89899,0.030303,41769,0,0,nan
90,3,0.909091,0.030303,40829.9,0,0,nan
91,3,0.919192,0.030303,39759.8,0,0,nan
92,3,0.929293,0.030303,38265,0,0,nan
93,3,0.939394,0.030303,36517.8,0,0,nan
94,3,0.949495,0.030303,33855.4,0,0,nan
95,3,0.959596,0.030303,30521.3,0,0,nan
96,3,0.969697,0.030303,24999.2,0,0,nan
97,3,0.979798,0.030303,16354.8,0,0,nan
