x_um,T_K,fl,T_analytical,front_analytical_um,time_ms,snapshot
1664.16,1878,0,1878,15.2199,0.5,1
1669.17,1878,0,1878,15.2199,0.5,1
1674.19,1878,0,1878,15.2199,0.5,1
1679.2,1878,0,1878,15.2199,0.5,1
1684.21,1878,0,1878,15.2199,0.5,1
1689.22,1878,0,1878,15.2199,0.5,1
1694.24,1878,0,1878,15.2199,0.5,1
1699.25,1878,0,1878,15.2199,0.5,1
1704.26,1878,0,1878,15.2199,0.5,1
1709.27,1878,0,1878,15.2199,0.5,1
1714.29,1878,0,1878,15.2199,0.5,1
1719.3,1878,0,1878,15.2199,0.5,1
1724.31,1878,0,1878,15.2199,0.5,1
1729.32,1878,0,1878,15.2199,0.5,1
1734.34,1878,0,1878,15.2199,0.5,1
1739.35,1878,0,1878,15.2199,0.5,1
1744.36,1878,0,1878,15.2199,0.5,1
1749.37,1878,0,1878,15.2199,0.5,1
1754.39,1878,0,1878,15.2199,0.5,1
1759.4,1878,0,1878,15.2199,0.5,1
1764.41,1878,0,1878,15.2199,0.5,1
1769.42,1878,0,1878,15.2199,0.5,1
1774.44,1878,0,1878,15.2199,0.5,1
1779.45,1878,0,1878,15.2199,0.5,1
1784.46,1878,0,1878,15.2199,0.5,1
1789.47,1878,0,1878,15.2199,0.5,1
1794.49,1878,0,1878,15.2199,0.5,1
1799.5,1878,0,1878,15.2199,0.5,1
1804.51,1878,0,1878,15.2199,0.5,1
1809.52,1878,0,1878,15.2199,0.5,1
1814.54,1878,0,1878,15.2199,0.5,1
1819.55,1878,0,1878,15.2199,0.5,1
1824.56,1878,0,1878,15.2199,0.5,1
1829.57,1878,0,1878,15.2199,0.5,1
1834.59,1878,0,1878,15.2199,0.5,1
1839.6,1878,0,1878,15.2199,0.5,1
1844.61,1878,0,1878,15.2199,0.5,1
1849.62,1878,0,1878,15.2199,0.5,1
1854.64,1878,0,1878,15.2199,0.5,1
1859.65,1878,0,1878,15.2199,0.5,1
1864.66,1878,0,1878,15.2199,0.5,1
1869.67,1878,0,1878,15.2199,0.5,1
1874.69,1878,0,1878,15.2199,0.5,1
1879.7,1878,0,1878,15.2199,0.5,1
1884.71,1878,0,1878,15.2199,0.5,1
1889.72,1878,0,1878,15.2199,0.5,1
1894.74,1878,0,1878,15.2199,0.5,1
1899.75,1878,0,1878,15.2199,0.5,1
1904.76,1878,0,1878,15.2199,0.5,1
1909.77,1878,0,1878,15.2199,0.5,1
1914.79,1878,0,1878,15.2199,0.5,1
1919.8,1878,0,1878,15.2199,0.5,1
1924.81,1878,0,1878,15.2199,0.5,1
1929.82,1878,0,1878,15.2199,0.5,1
1934.84,1878,0,1878,15.2199,0.5,1
1939.85,1878,0,1878,15.2199,0.5,1
1944.86,1878,0,1878,15.2199,0.5,1
1949.87,1878,0,1878,15.2199,0.5,1
1954.89,1878,0,1878,15.2199,0.5,1
1959.9,1878,0,1878,15.2199,0.5,1
1964.91,1878,0,1878,15.2199,0.5,1
1969.92,1878,0,1878,15.2199,0.5,1
1974.94,1878,0,1878,15.2199,0.5,1
1979.95,1878,2.71267e-06,1878,15.2199,0.5,1
1984.96,1878,0,1878,15.2199,0.5,1
1989.97,1878,0,1878,15.2199,0.5,1
1994.99,1878,2.71267e-06,1878,15.2199,0.5,1
2000,1878,2.71267e-06,1878,15.2199,0.5,1
0,1923,0.999211,1923,21.5242,1,2
5.01253,1920.53,0.945123,1912.39,21.5242,1,2
10.0251,1917.13,0.869548,1901.82,21.5242,1,2
15.0376,1913.56,0.790175,1891.35,21.5242,1,2
20.0501,1909.83,0.707327,1881.01,21.5242,1,2
25.0627,1905.97,0.621577,1878,21.5242,1,2
30.0752,1902.02,0.533719,1878,21.5242,1,2
35.0877,1898.03,0.445036,1878,21.5242,1,2
40.1003,1894.08,0.357324,1878,21.5242,1,2
45.1128,1890.29,0.273036,1878,21.5242,1,2
50.1253,1886.79,0.195443,1878,21.5242,1,2
55.1378,1883.78,0.128516,1878,21.5242,1,2
60.1504,1881.42,0.0759955,1878,21.5242,1,2
65.1629,1879.78,0.0396593,1878,21.5242,1,2
70.1754,1878.81,0.0180149,1878,21.5242,1,2
75.188,1878.32,0.00704481,1878,21.5242,1,2
