k,z_um,fill,temperature,liquid_frac,curvature,ux,uy,uz,vmag
64,240.00,9.99999881e-01,3.65909271e+02,0.00000000e+00,0.00000000e+00,-1.01499469e-11,-3.42808789e-13,-7.51840517e-12,1.26358750e-11
65,243.75,9.99999702e-01,3.79567688e+02,0.00000000e+00,0.00000000e+00,-1.07553749e-11,-1.69065540e-13,-9.88866367e-12,1.46113763e-11
66,247.50,9.99999166e-01,3.96249207e+02,0.00000000e+00,0.00000000e+00,-1.12906377e-11,-7.68479722e-14,-1.19755872e-11,1.64590112e-11
67,251.25,9.99997735e-01,4.17002441e+02,0.00000000e+00,0.00000000e+00,-1.17610808e-11,-1.28970944e-13,-1.54731731e-11,1.94360170e-11
68,255.00,9.99993861e-01,4.43663940e+02,0.00000000e+00,0.00000000e+00,-1.22863204e-11,-3.69538520e-13,-1.90750037e-11,2.26924209e-11
69,258.75,9.99983311e-01,4.79466431e+02,0.00000000e+00,0.00000000e+00,-1.30220565e-11,-8.62702054e-13,-2.51286197e-11,2.83154680e-11
70,262.50,9.99954581e-01,5.29747437e+02,0.00000000e+00,0.00000000e+00,-1.43164430e-11,-1.39328718e-12,-3.18264200e-11,3.49259614e-11
71,266.25,9.99876618e-01,6.02624268e+02,0.00000000e+00,0.00000000e+00,-1.84628927e-11,-2.02745004e-12,-4.17304524e-11,4.56773439e-11
72,270.00,9.99664664e-01,7.08721069e+02,0.00000000e+00,0.00000000e+00,-2.58035451e-11,-3.57376477e-12,-5.05138431e-11,5.68352275e-11
73,273.75,9.99088943e-01,8.59372498e+02,0.00000000e+00,0.00000000e+00,-3.91944706e-11,-6.49198317e-12,-6.10440171e-11,7.28335378e-11
74,277.50,9.97527361e-01,1.06120105e+03,0.00000000e+00,0.00000000e+00,-7.27803789e-11,-8.90367294e-12,-7.18254553e-11,1.02640903e-10
75,281.25,9.93307114e-01,1.31021069e+03,0.00000000e+00,0.00000000e+00,-1.18728111e-10,-6.02889049e-12,-1.00096154e-10,1.55408977e-10
76,285.00,1.00000000e+00,1.64823096e+03,6.26154482e-01,0.00000000e+00,-1.98115885e-07,-1.01082058e-08,-1.70457895e-07,2.61549189e-07
77,288.75,9.94457066e-01,2.13217139e+03,1.00000000e+00,0.00000000e+00,-1.48573745e-04,-5.10107657e-06,-1.27467312e-04,1.95826695e-04
78,292.50,8.76863122e-01,2.66188623e+03,1.00000000e+00,2.03540442e+03,-1.40314455e-07,5.08628327e-05,-2.70905166e-05,5.76276288e-05
79,296.25,6.92999184e-01,2.98970166e+03,1.00000000e+00,-5.03420352e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
